hotspot_id,latitude_center,longitude_center,total_violations,junction_name,police_station,dominant_vehicle_type,dominant_violation_type,dominant_offence_code
H31,12.977891137415659,77.57794673217136,193410,Unmapped Location,Upparpet,SCOOTER,WRONG PARKING,112
H46,12.936735643474504,77.69100913793785,20215,Unmapped Location,HAL Old Airport,SCOOTER,NO PARKING,113
H134,13.05156876352533,77.58742858416075,14703,Unmapped Location,Kodigehalli,SCOOTER,WRONG PARKING,112
H14,12.9158590461881,77.6282650683924,12576,Unmapped Location,HSR Layout,CAR,WRONG PARKING,112
H116,13.002566541482818,77.68598141448777,11331,Unmapped Location,K.R. Pura,CAR,WRONG PARKING,112
H204,13.18556663287743,77.68049832041439,5140,Unmapped Location,Chikkajala,CAR,NO PARKING,113
H88,12.965612487593809,77.71561646993966,4753,Unmapped Location,HAL Old Airport,CAR,WRONG PARKING,112
H3,12.84183382761682,77.64606441663176,2117,Unmapped Location,Electronic City,SCOOTER,WRONG PARKING,112
H118,13.013820223178257,77.53041493949515,1697,Unmapped Location,Rajajinagar,CAR,WRONG PARKING,112
H99,12.97251386163103,77.65755565785835,1375,Unmapped Location,Jeevanbheemanagar,SCOOTER,NO PARKING,113
H40,12.910976951671733,77.60379891079027,1316,BTP130 - GD Mara Junction,Mico Layout,SCOOTER,NO PARKING,113
H193,13.096057931219256,77.59766923334638,1263,Unmapped Location,Yelahanka,SCOOTER,WRONG PARKING,112
H30,12.904760543405708,77.67764295503429,1254,Unmapped Location,Bellandur,CAR,NO PARKING,113
H157,13.047666587088388,77.57553842738301,1154,Unmapped Location,Kodigehalli,SCOOTER,WRONG PARKING,112
H205,13.1912025655683,77.64618910578727,959,Unmapped Location,Chikkajala,CAR,NO PARKING,113
H111,12.993363802596342,77.66240279677896,956,Unmapped Location,Banaswadi,SCOOTER,NO PARKING,113
H13,12.877843560493082,77.59613643497313,780,Unmapped Location,Hulimavu,SCOOTER,WRONG PARKING,112
H163,13.047896218868372,77.49991184836364,747,Unmapped Location,Chikkabanavara,SCOOTER,WRONG PARKING,112
H147,13.034395045645194,77.62478625236734,735,Unmapped Location,K.G. Halli,CAR,NO PARKING,113
H105,12.987421517012448,77.73425390345783,723,Unmapped Location,Mahadevapura,MOTOR CYCLE,PARKING ON FOOTPATH | WRONG PARKING,105 | 112
H198,13.121471539608178,77.62378504045996,587,Unmapped Location,Yelahanka,MAXI-CAB,WRONG PARKING,112
H11,12.8705582342513,77.65486164798172,576,Unmapped Location,Electronic City,CAR,WRONG PARKING,112
